key_type,key,avatar,zh-CN,ja,en,source_file
,global_go,,走！,行こう！,GO！,Common_Global.csv
,global_bag_hint,,看看我都捡到些什么好玩的(゜▽゜),なにかおもしろいもの拾ったかな(゜▽゜),Let’s see what fun stuff I picked up(゜▽゜),Common_Global.csv
,global_book_hint,,记点啥吧( ´ ▽ ` )ﾉ✎,なにか書いとこ( ´ ▽ )ﾉ✎,Time to jot something down( ´ ▽ ` )ﾉ✎,Common_Global.csv
,global_side_bar_hint,,摆出来看看？,出してみよっか。,"Take it out, let’s see.",Common_Global.csv
,global_sticker_book_hint,,地方不一样，发生的事肯定也不一样。嗯，记下来吧，回头看应该挺有意思的。,場所が違えば、起こることも違うよな。うん、メモっとこ。あとで見返したら面白そう。,"Different place, different stuff happens, huh? Yeah, better write it down — might be fun to read later.",Common_Global.csv
,global_wintext,,"感谢你体验《小小生活：上海篇》试玩版。

在这趟旅途中，不知你是否捕捉到了那些微小的生活碎片？
是弄堂里传来的一次声响，是一抹转瞬即逝的微笑，或是某种奇妙而难以言喻的联结。

请撒下好奇的种子，去发现平凡日常中，那一点点微小而闪光的可能性。","『小さな生活：上海編』体験版をプレイしていただき、ありがとうございます。

この旅の中で、ささやかな日常のかけらに気づくことはできたでしょうか。
弄堂（路地裏）に響くふとした音、すれ違いざまの小さな笑顔、あるいは言葉にしづらい、どこか不思議なつながり。

どうか、好奇心の種をそっとまいてみてください。
何気ない日常に目を向ければ、ありふれた一日の中にも、小さくきらめく可能性が見えてきます。","Thank you for playing the demo of Small Life: Shanghai.

In your time with the game, did you find yourself catching those fleeting fragments of life?
Maybe it was a distant sound echoing through an old alleyway, a stranger’s passing smile, or a sudden, quiet moment of connection that’s hard to put into words.

Let your curiosity take root. Look closer at the mundane, and you’ll find that even the most ordinary day is full of tiny, shimmering possibilities.",Common_Global.csv
,global_wintext2,,"旅程，才刚刚开始。
在未来的完整版本中，你将体验到：

 • 100+个可交互的精彩瞬间
 • 20+个取材自真实上海的城市景观
 • 更多关于生活碎片与温暖相遇的故事

别忘了将《小小生活：上海篇》加入Steam愿望单。","旅は、まだ始まったばかりです。
製品版では、以下の内容をお楽しみいただけます：

・100以上のインタラクティブな瞬間
・実際の上海をもとにした20以上の街並み
・日常のかけらと心あたたまる出会いから紡がれる、さらなる物語

『小さな生活：上海編』を、ぜひSteamのウィッシュリストに追加してください。","The journey has only just begun.
In the full release, you can look forward to:

• 100+ interactive moments to discover and cherish.
• 20+ hand-crafted cityscapes inspired by the authentic streets of Shanghai.
• Deepened narratives woven from life's small fragments and heartwarming encounters.

Don’t forget to add Small Life: Shanghai to your Steam Wishlist.",Common_Global.csv
,global_exit,,退出,終了,Quit,Common_Global.csv
,global_back,,返回,戻る,Back,Common_Global.csv
,global_achieve,,小收获,小さな発見,Little Finds,Common_Global.csv
,global_formgoogle,,谷歌问卷表单,グーグルシート,GoogleSheet,Common_Global.csv
,global_formwqx,,问卷星（中国地域用）,問巻星（中国地域用）,WenJuanXin（ForChinaRegion）,Common_Global.csv
,global_makeby,,"游戏制作人 Yueqi Wu
虾仔铺头工作室","Made by Yueqi Wu
ShrimpShopGames","Made by Yueqi Wu
ShrimpShopGames",Common_Global.csv
